2025-04-07 14:40:59 - Starting HTML content embedding generation process
2025-04-07 14:43:33 - Updated embedding for job ID: 35570
2025-04-07 14:43:33 - Updated embedding for job ID: 35571
2025-04-07 14:43:34 - Updated embedding for job ID: 35572
2025-04-07 14:43:34 - Updated embedding for job ID: 35573
2025-04-07 14:43:35 - Updated embedding for job ID: 35574
2025-04-07 14:43:35 - Updated embedding for job ID: 35575
2025-04-07 14:43:36 - Updated embedding for job ID: 35576
2025-04-07 14:43:37 - Updated embedding for job ID: 35577
2025-04-07 14:43:37 - Updated embedding for job ID: 35578
2025-04-07 14:43:38 - Updated embedding for job ID: 35579
2025-04-07 14:43:39 - Updated embedding for job ID: 35580
2025-04-07 14:43:39 - Updated embedding for job ID: 35581
2025-04-07 14:43:40 - Updated embedding for job ID: 35582
2025-04-07 14:43:40 - Updated embedding for job ID: 35583
2025-04-07 14:43:41 - Updated embedding for job ID: 35584
2025-04-07 14:43:41 - Updated embedding for job ID: 35585
2025-04-07 14:43:42 - Updated embedding for job ID: 35586
2025-04-07 14:43:42 - Updated embedding for job ID: 35587
2025-04-07 14:43:43 - Updated embedding for job ID: 35588
2025-04-07 14:43:43 - Updated embedding for job ID: 35589
2025-04-07 14:43:44 - Updated embedding for job ID: 35590
2025-04-07 14:43:44 - Updated embedding for job ID: 35591
2025-04-07 14:43:44 - Updated embedding for job ID: 35592
2025-04-07 14:43:45 - Updated embedding for job ID: 35593
2025-04-07 14:43:45 - Updated embedding for job ID: 35594
2025-04-07 14:43:45 - Updated embedding for job ID: 35595
2025-04-07 14:43:46 - Updated embedding for job ID: 35596
2025-04-07 14:43:46 - Updated embedding for job ID: 35597
2025-04-07 14:43:46 - Updated embedding for job ID: 35598
2025-04-07 14:43:47 - Updated embedding for job ID: 35599
2025-04-07 14:43:47 - Updated embedding for job ID: 35600
2025-04-07 14:43:47 - Updated embedding for job ID: 35601
2025-04-07 14:43:48 - Updated embedding for job ID: 35602
2025-04-07 14:43:48 - Updated embedding for job ID: 35603
2025-04-07 14:43:48 - Updated embedding for job ID: 35604
2025-04-07 14:43:49 - Updated embedding for job ID: 35605
2025-04-07 14:43:49 - Updated embedding for job ID: 35606
2025-04-07 14:43:49 - Updated embedding for job ID: 35607
2025-04-07 14:43:50 - Updated embedding for job ID: 35608
2025-04-07 14:43:50 - Updated embedding for job ID: 35609
2025-04-07 14:43:51 - Updated embedding for job ID: 35610
2025-04-07 14:43:51 - Updated embedding for job ID: 35611
2025-04-07 14:43:51 - Updated embedding for job ID: 35612
2025-04-07 14:43:51 - Progress: 200/250 jobs processed
2025-04-07 14:43:52 - Updated embedding for job ID: 35613
2025-04-07 14:43:52 - Updated embedding for job ID: 35614
2025-04-07 14:43:53 - Updated embedding for job ID: 35615
2025-04-07 14:43:53 - Updated embedding for job ID: 35616
